Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
期,9,0.03,2889,0.03,2112.95
門,67,0.19,15412,0.18,2339.18
董,9,0.03,1692,0.02,2658.86
忠,42,0.12,11607,0.13,1676.53
士,62,0.18,29864,0.34,15301.39
申,15,0.04,7065,0.08,7245.71
須,7,0.02,2208,0.03,1725.05
許,32,0.09,7876,0.09,481.08
沈,8,0.02,1629,0.02,1832.59
性,6,0.02,2720,0.03,4290.76
哀,15,0.04,2207,0.03,6304.48
思,25,0.07,6504,0.07,397.05
祭,7,0.02,5198,0.06,8861.83
敬,16,0.05,3752,0.04,913.97
朝,58,0.17,20707,0.24,7800.63
甘,6,0.02,2049,0.02,2179.11
泉,12,0.03,2444,0.03,2242.44
祠,11,0.03,3304,0.04,1678.78
昔,9,0.03,2310,0.03,117.93
本,29,0.08,10010,0.11,4965.9
原,24,0.07,5919,0.07,387.1
古,19,0.05,7052,0.08,4972.14
受,20,0.06,8077,0.09,6247.9
命,34,0.1,18474,0.21,13542.51
佐,8,0.02,2660,0.03,2289.87
阿,20,0.06,2006,0.02,12686.93
甫,7,0.02,2230,0.03,1803.36
屬,27,0.08,10918,0.12,7281.0
功,42,0.12,12429,0.14,2995.0
靡,7,0.02,992,0.01,4611.46
褒,7,0.02,1232,0.01,2868.39
揚,15,0.04,2961,0.03,2868.1
隸,7,0.02,3294,0.04,4941.2
淳,5,0.01,2192,0.02,3685.48
傷,19,0.05,2660,0.03,7761.65
惡,7,0.02,3689,0.04,5882.55
刑,21,0.06,6798,0.08,3343.65
農,16,0.05,2413,0.03,6209.0
己,16,0.05,7759,0.09,7847.69
力,31,0.09,7697,0.09,328.88
衣,41,0.12,5409,0.06,12581.63
蠶,7,0.02,470,0.01,11133.77
織,10,0.03,750,0.01,12069.07
莽,11,0.03,1602,0.02,5502.65
委,5,0.01,2246,0.03,3853.44
負,11,0.03,2175,0.02,2439.59
江,31,0.09,16262,0.19,12306.92
邊,16,0.05,7779,0.09,7879.92
趣,5,0.01,956,0.01,1868.83
擾,6,0.02,1351,0.02,854.75
滿,9,0.03,2909,0.03,2174.81
井,6,0.02,2161,0.02,2571.11
黨,18,0.05,4148,0.05,1189.0
精,10,0.03,2748,0.03,764.61
肅,5,0.01,3329,0.04,6667.35
聰,5,0.01,724,0.01,3749.23
汾,9,0.03,696,0.01,11130.27
陰,25,0.07,5562,0.06,1923.38
洋,6,0.02,713,0.01,5614.6
絳,9,0.03,1288,0.01,5138.44
土,38,0.11,6025,0.07,8630.51
議,30,0.09,15085,0.17,11373.34
福,22,0.06,6045,0.07,1132.94
韓,13,0.04,4595,0.05,3581.03
藥,6,0.02,1659,0.02,637.07
逃,8,0.02,1250,0.01,4084.68
恨,5,0.01,915,0.01,2162.28
鉅,5,0.01,468,0.01,6851.14
鹿,10,0.03,945,0.01,9589.12
謝,13,0.04,3661,0.04,1134.1
詐,5,0.01,1029,0.01,1377.98
戌,8,0.02,4291,0.05,6447.34
辟,6,0.02,2595,0.03,3935.16
群,7,0.02,4392,0.05,7370.76
印,12,0.03,2306,0.03,2843.18
卯,11,0.03,4620,0.05,5030.22
賊,38,0.11,13714,0.16,6512.28
嚴,12,0.03,4170,0.05,3263.28
普,6,0.02,1347,0.02,876.31
誅,17,0.05,5153,0.06,2199.29
易,22,0.06,7241,0.08,3655.51
水,36,0.1,14511,0.17,8350.73
離,16,0.05,2151,0.02,7623.98
火,9,0.03,3401,0.04,3584.46
露,10,0.03,1081,0.01,8203.21
良,18,0.05,6502,0.07,4491.82
狀,12,0.03,2803,0.03,831.72
狗,9,0.03,377,0.0,18071.83
走,15,0.04,3588,0.04,657.01
通,24,0.07,11970,0.14,10045.19
視,11,0.03,5044,0.06,5927.96
巢,7,0.02,918,0.01,5246.43
燒,6,0.02,682,0.01,5960.24
盛,9,0.03,3518,0.04,3892.24
風,16,0.05,5829,0.07,4337.55
氣,7,0.02,5292,0.06,9023.98
庚,13,0.04,5346,0.06,5235.82
劍,6,0.02,1538,0.02,86.85
結,16,0.05,2661,0.03,5019.87
佩,6,0.02,658,0.01,6240.81
招,10,0.03,3267,0.04,2393.69
署,5,0.01,2693,0.03,5126.07
藪,9,0.03,98,0.0,39357.32
具,8,0.02,3806,0.04,5378.97
區,5,0.01,879,0.01,2431.83
湖,11,0.03,5049,0.06,5938.16
竹,5,0.01,917,0.01,2147.64
宜,43,0.12,10608,0.12,512.56
獸,5,0.01,647,0.01,4527.19
銀,32,0.09,3480,0.04,14567.33
華,11,0.03,4418,0.05,4577.03
滎,10,0.03,446,0.01,18237.57
青,33,0.1,4720,0.05,9851.28
沂,6,0.02,561,0.01,7513.76
孟,23,0.07,5263,0.06,1444.41
魚,27,0.08,1490,0.02,25629.45
泰,6,0.02,3693,0.04,6669.77
野,13,0.04,1866,0.02,6142.79
浸,5,0.01,601,0.01,5044.59
雍,8,0.02,2488,0.03,1724.87
涇,10,0.03,1380,0.02,5770.96
渭,7,0.02,1104,0.01,3745.78
洛,5,0.01,2337,0.03,4128.81
